"gvkey","car2","e2","car1","e1","gamma1pre","gamma2pre","gamma1post","gamma2post"
2193,-0.108460417,0.01124926,-0.136066909,0.009953967,3.1852355506283,-127.62451250349,2.22471427728262,-137.333176831996
2230,-0.030419146,0.001372643,0.02658325,0.009765554,3.20823491719406,-116.333383889285,3.88065879832173,-111.676155783583
2255,0.103995006,0.038250621,0.078300069,0.003947899,3.05692120972611,170.871036271064,0.45410019950104,-112.626626560675
2269,-0.051546057,0.036625538,0.159133824,0.024431661,1.1668605668088,-261.989364646108,0.615496094943087,-91.8995617471981
2270,0.108743514,-0.000632062,0.009702952,0.007634704,3.31385426078454,2.01983836757633,3.95757758480632,33.332161881634
2282,0.188659189,0.004476287,0.050553988,0.004487808,3.13724901830998,132.150036134936,3.42404820680963,-157.928672863985
2285,0.070557555,-0.017122174,-0.007738502,0.014983723,2.39692034822281,-123.150400679483,3.19195882013758,-73.1499090514551
2290,0.072544182,0.005800512,0.066299457,0.002238896,2.64845495442538,292.172725427101,3.21736140138845,-156.064606666695
2299,-0.00278987,-0.002412282,0.180721499,0.001118365,2.30328252206998,328.104841977118,3.79523186153045,126.211796673575
2312,-0.016456382,0.002726525,0.134373047,-0.014069403,-1.11185345113759,-43.1585159699953,3.6973092203887,-147.170717501135
2337,-0.01256483,-0.005342387,0.065152402,0.002861609,2.82069719677499,258.386920428638,3.42189025866439,117.014913462138
2345,0.141669992,0.016160319,-0.120510402,-0.017688802,-0.840944545282875,-79.503922213912,1.84480862166545,-24.6906583999734
2346,-0.012517236,-0.000976978,0.027208015,0.002136296,2.6183420224885,294.823998488693,3.94141089179184,60.8971770400149
2352,-0.001408051,-0.007996554,0.018109789,-0.000779136,1.63838705813045,354.031758591518,3.16143471496068,74.7344230694737
2393,0.18806252,0.021034868,-0.296658013,-0.051113904,1.92495705854667,-48.453993913942,1.79073932081305,-24.200946982898
2403,-0.001797553,0.020708064,-0.109869127,0.019565992,1.92729778944523,-94.1664127383806,1.79823525755532,-22.0310750358233
2436,0.279933495,0.019238144,0.084794637,-0.002984454,0.873611663277381,350.295564409597,1.82241862949909,-9.63417027970356
